,timestamp,timestamp.1,main_meter,sub_meter_1,sub_meter_2,weekend,corporate,main_meter_4,main_meter_12,day of week_0,day of week_1,day of week_2,day of week_3,day of week_4,day of week_5,day of week_6,building_number_1,building_number_2,building_number_3,building_number_4,building_number_5,building_number
19800,01-04-2017 0:00,01-04-2017 0:00,3656.0993270000004,1060.180109,6.138407265,1,0,3685.486139,5278.769224000001,0,0,0,0,0,1,0,0,0,0,1,0,4
19801,01-04-2017 1:00,01-04-2017 1:00,3653.150275,979.8158756000001,11.87691986,1,0,3685.486139,5278.769224000001,0,0,0,0,0,1,0,0,0,0,1,0,4
19802,01-04-2017 2:00,01-04-2017 2:00,3720.3868009999997,1084.277988,4.487272909,1,0,3685.486139,5278.769224000001,0,0,0,0,0,1,0,0,0,0,1,0,4
19803,01-04-2017 3:00,01-04-2017 3:00,3712.3081549999997,1121.775333,6.518856551,1,0,3685.486139,5278.769224000001,0,0,0,0,0,1,0,0,0,0,1,0,4
19804,01-04-2017 4:00,01-04-2017 4:00,3184.69828,833.1650397000001,8.103356474,1,0,4889.9957939999995,5278.769224000001,0,0,0,0,0,1,0,0,0,0,1,0,4
19805,01-04-2017 5:00,01-04-2017 5:00,3010.130587,784.1951432,508.41143099999994,1,0,4889.9957939999995,5278.769224000001,0,0,0,0,0,1,0,0,0,0,1,0,4
19806,01-04-2017 6:00,01-04-2017 6:00,6244.513314,1789.3315760000003,1727.7376170000002,1,0,4889.9957939999995,5278.769224000001,0,0,0,0,0,1,0,0,0,0,1,0,4
19807,01-04-2017 7:00,01-04-2017 7:00,7120.640992000001,1998.6040460000002,2071.934938,1,0,4889.9957939999995,5278.769224000001,0,0,0,0,0,1,0,0,0,0,1,0,4
19808,01-04-2017 8:00,01-04-2017 8:00,7162.521696,2140.578611,2071.406002,1,1,7260.825738,5278.769224000001,0,0,0,0,0,1,0,0,0,0,1,0,4
19809,01-04-2017 9:00,01-04-2017 9:00,7237.823319,2100.777517,2071.611911,1,1,7260.825738,5278.769224000001,0,0,0,0,0,1,0,0,0,0,1,0,4
19810,01-04-2017 10:00,01-04-2017 10:00,7234.432521,2201.2676539999998,2073.291329,1,1,7260.825738,5278.769224000001,0,0,0,0,0,1,0,0,0,0,1,0,4
19811,01-04-2017 11:00,01-04-2017 11:00,7408.525418000001,2347.024894,2073.8362399999996,1,1,7260.825738,5278.769224000001,0,0,0,0,0,1,0,0,0,0,1,0,4
19812,01-04-2017 12:00,01-04-2017 12:00,7087.229345999999,1888.63615,2073.6767800000002,1,1,7387.637951999999,5906.692841,0,0,0,0,0,1,0,0,0,0,1,0,4
19813,01-04-2017 13:00,01-04-2017 13:00,7418.044594,2366.693548,2074.227673,1,1,7387.637951999999,5906.692841,0,0,0,0,0,1,0,0,0,0,1,0,4
19814,01-04-2017 14:00,01-04-2017 14:00,7591.334562000001,2357.470947,2076.021143,1,1,7387.637951999999,5906.692841,0,0,0,0,0,1,0,0,0,0,1,0,4
